"Start_time","End_time","Value","Unit"
"2019-07-12T09:30:00-04:00","2019-07-12T09:45:00-04:00",0.018,"KWH"
"2019-07-12T09:45:00-04:00","2019-07-12T10:00:00-04:00",0.021,"KWH"
"2019-07-12T10:00:00-04:00","2019-07-12T10:15:00-04:00",0.057,"KWH"
"2019-07-12T10:15:00-04:00","2019-07-12T10:30:00-04:00",0.063,"KWH"
"2019-07-12T10:30:00-04:00","2019-07-12T10:45:00-04:00",0.15,"KWH"
"2019-07-12T10:45:00-04:00","2019-07-12T11:00:00-04:00",0.093,"KWH"
"2019-07-12T11:00:00-04:00","2019-07-12T11:15:00-04:00",0.105,"KWH"
"2019-07-12T11:15:00-04:00","2019-07-12T11:30:00-04:00",0.099,"KWH"
"2019-07-12T11:30:00-04:00","2019-07-12T11:45:00-04:00",0.099,"KWH"
"2019-07-12T11:45:00-04:00","2019-07-12T12:00:00-04:00",0.108,"KWH"
"2019-07-12T12:00:00-04:00","2019-07-12T12:15:00-04:00",0.06,"KWH"
"2019-07-12T12:15:00-04:00","2019-07-12T12:30:00-04:00",0.036,"KWH"
"2019-07-12T12:30:00-04:00","2019-07-12T12:45:00-04:00",0.033,"KWH"
"2019-07-12T12:45:00-04:00","2019-07-12T13:00:00-04:00",0.009,"KWH"
"2019-07-12T13:00:00-04:00","2019-07-12T13:15:00-04:00",0.015,"KWH"
"2019-07-12T13:15:00-04:00","2019-07-12T13:30:00-04:00",0.039,"KWH"
"2019-07-12T13:30:00-04:00","2019-07-12T13:45:00-04:00",0.033,"KWH"
"2019-07-12T13:45:00-04:00","2019-07-12T14:00:00-04:00",0.012,"KWH"
"2019-07-12T14:00:00-04:00","2019-07-12T14:15:00-04:00",0.009,"KWH"
"2019-07-12T14:15:00-04:00","2019-07-12T14:30:00-04:00",0.033,"KWH"
"2019-07-12T14:30:00-04:00","2019-07-12T14:45:00-04:00",0.063,"KWH"
"2019-07-12T14:45:00-04:00","2019-07-12T15:00:00-04:00",0.045,"KWH"
"2019-07-12T15:00:00-04:00","2019-07-12T15:15:00-04:00",0.039,"KWH"
"2019-07-12T15:15:00-04:00","2019-07-12T15:30:00-04:00",0.057,"KWH"
"2019-07-12T15:30:00-04:00","2019-07-12T15:45:00-04:00",0.099,"KWH"
"2019-07-12T15:45:00-04:00","2019-07-12T16:00:00-04:00",0.096,"KWH"
"2019-07-12T16:00:00-04:00","2019-07-12T16:15:00-04:00",0.081,"KWH"
"2019-07-12T16:15:00-04:00","2019-07-12T16:30:00-04:00",0.219,"KWH"
"2019-07-12T16:30:00-04:00","2019-07-12T16:45:00-04:00",0.108,"KWH"
"2019-07-12T16:45:00-04:00","2019-07-12T17:00:00-04:00",0.114,"KWH"
"2019-07-12T17:00:00-04:00","2019-07-12T17:15:00-04:00",0.213,"KWH"
