"START DATE","END DATE","USAGE","UNITS","COST"
15-07-2016,22-08-2016,783,kWh,196.84
23-08-2016,21-09-2016,375,kWh,99.82
22-09-2016,20-10-2016,211,kWh,64.31
21-10-2016,21-11-2016,243,kWh,72.48
22-11-2016,21-12-2016,218,kWh,68.42
22-12-2016,24-01-2017,192,kWh,59.46
25-01-2017,23-02-2017,156,kWh,54.61
24-02-2017,24-03-2017,142,kWh,50.43
25-03-2017,21-04-2017,181,kWh,55.92
22-04-2017,22-05-2017,186,kWh,63.22
23-05-2017,21-06-2017,309,kWh,89.11
22-06-2017,21-07-2017,551,kWh,143.81
22-07-2017,21-08-2017,493,kWh,126.11
22-08-2017,20-09-2017,304,kWh,85.29
21-09-2017,19-10-2017,289,kWh,84.23
20-10-2017,20-11-2017,192,kWh,62.03
21-11-2017,20-12-2017,165,kWh,52.58
21-12-2017,23-01-2018,135,kWh,52.29
24-01-2018,22-02-2018,147,kWh,49.54
23-02-2018,23-03-2018,149,kWh,53.10
24-03-2018,23-04-2018,141,kWh,51.88
24-04-2018,22-05-2018,183,kWh,61.12
23-05-2018,21-06-2018,321,kWh,95.64
22-06-2018,23-07-2018,556,kWh,158.26
24-07-2018,21-08-2018,487,kWh,133.20
22-08-2018,20-09-2018,379,kWh,103.34
21-09-2018,19-10-2018,201,kWh,65.84
20-10-2018,20-11-2018,170,kWh,57.34
21-11-2018,20-12-2018,143,kWh,47.94
21-12-2018,23-01-2019,146,kWh,52.33
24-01-2019,22-02-2019,135,kWh,45.80
23-02-2019,25-03-2019,138,kWh,48.87
26-03-2019,23-04-2019,129,kWh,41.82
24-04-2019,22-05-2019,134,kWh,42.47
23-05-2019,21-06-2019,175,kWh,54.79
